,Name,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals (xG),Expected Assist Goals (xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Passes Completed (Cmp),Pass Completion Percentage (Cmp%),Total Passing Distance (TotDist),Short Pass Completion Percentage,Medium Pass Completion Percentage,Long Pass Completion Percentage,Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Crosses into Penalty Area (CrsPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles (Tkl),Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocks,Blocked Shots (Sh),Blocked Passes (Pass),Interceptions (Int),Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Take-Ons (Att),Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Miscontrols (Mis),Dispossessed (Dis),Passes Received (Rec),Fouls Committed (Fls),Fouls Drawn (Fld),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won (Won),Aerials Lost (Lost),Aerials Won Percentage (Won%),market_value,rating
187,Mark Flekken,NED,Brentford,GK,31,34,34,3005.0,0,2,1,0,0.0,0.5,0,0,0,0.0,0.06,0.0,0.02,1.53,73.1,17.6,0.0,,0.0,,,1179,73.4,34812,97.9,97.5,49.9,3,47,2,0,10,0.3,2,0.06,4,4,9,6,2,0,2,0,1707,1338,1660,52,0,0,1,100.0,0.0,1045,3005,0,0,3,0,953,0,3,0,0,37,4,0,100.0,€13.6M,72.0/72.0
188,Martin Ødegaard,NOR,Arsenal,MF,26,27,24,2130.0,2,7,4,0,4.6,5.0,82,240,144,0.08,0.3,0.19,0.21,N/a,N/a,N/a,N/a,30.2,0.55,0.02,18.7,1141,82.9,17692,90.5,87.4,53.4,57,120,81,5,115,4.86,14,0.59,19,11,24,20,5,0,5,4,1550,7,108,655,801,105,55,41.8,54.5,1071,3426,74,23,33,38,1230,10,23,1,81,91,8,7,53.3,€126.5M,89.2/92.9
189,Mateo Kovačić,CRO,Manchester City,MF,31,29,23,2049.0,6,1,5,0,1.7,3.6,52,149,15,0.26,0.04,0.08,0.16,N/a,N/a,N/a,N/a,29.3,0.53,0.15,22.5,1604,92.6,24956,95.1,95.7,64.3,29,189,28,0,63,2.77,6,0.26,67,38,63,33,20,0,20,20,1959,51,287,1126,567,16,39,51.3,28.2,1332,3573,73,3,19,29,1590,23,23,0,0,110,9,8,52.9,€25.3M,77.7/77.7
190,Mateus Fernandes,POR,Southampton,MF,20,33,31,2640.0,2,3,8,0,3.8,2.6,73,131,102,0.07,0.1,0.13,0.09,N/a,N/a,N/a,N/a,35.9,0.48,0.05,18.5,1003,79.9,16952,87.9,85.6,55.3,31,91,21,4,71,2.42,6,0.2,86,46,64,31,40,6,34,21,1619,59,345,800,511,46,99,45.5,45.5,836,2981,66,8,52,33,1000,42,53,4,104,165,13,9,59.1,€22.5M,61.5/79.1
191,Matheus Cunha,BRA,Wolves,"MF,FW",25,30,27,2425.0,15,6,3,0,7.9,7.3,104,131,147,0.56,0.22,0.29,0.27,N/a,N/a,N/a,N/a,41.2,1.48,0.15,20.6,743,71.9,11781,85.1,75.9,45.1,51,89,54,10,118,4.38,16,0.59,35,21,36,25,19,1,18,17,1425,22,173,657,643,117,130,44.6,43.8,819,3108,88,36,72,48,957,41,69,8,123,123,10,27,27.0,€62.6M,80.9/83.2
192,Matheus Nunes,POR,Manchester City,"DF,MF",26,24,17,1494.0,1,5,4,0,0.9,4.2,59,69,156,0.06,0.3,0.05,0.25,N/a,N/a,N/a,N/a,42.9,0.18,0.14,18.3,957,86.3,14863,91.3,88.2,64.9,21,45,25,7,39,2.35,6,0.36,32,21,34,19,14,3,11,13,1267,39,221,494,560,54,36,44.4,36.1,779,2131,31,22,29,13,916,28,17,6,39,60,13,16,44.8,€42.3M,71.6/72.7
193,Matt Doherty,IRL,Wolves,DF,33,28,23,1965.0,2,1,6,0,1.0,1.5,29,76,40,0.09,0.05,0.05,0.07,N/a,N/a,N/a,N/a,30.0,0.14,0.2,11.4,1003,82.6,18738,90.4,86.5,61.7,11,88,14,1,24,1.1,3,0.14,37,20,24,8,26,15,11,21,1433,123,566,705,179,25,20,55.0,30.0,754,2050,19,4,11,5,909,18,11,2,18,99,48,19,71.6,€4.2M,68.1/68.1
194,Matthijs de Ligt,NED,Manchester Utd,DF,25,29,25,2123.0,2,0,3,0,2.5,0.3,7,55,6,0.08,0.0,0.1,0.01,N/a,N/a,N/a,N/a,50.0,0.38,0.11,7.9,1241,89.9,21810,94.2,94.4,49.1,6,63,2,1,14,0.59,1,0.04,30,22,32,9,29,21,8,33,1608,184,828,731,56,29,4,50.0,50.0,1078,2225,3,0,5,3,1158,16,12,2,6,68,58,29,66.7,€52.2M,75.6/82.9
195,Matty Cash,POL,Aston Villa,DF,27,24,21,1800.0,1,1,6,0,0.3,1.1,46,39,75,0.05,0.05,0.02,0.05,N/a,N/a,N/a,N/a,40.0,0.2,0.1,19.0,642,79.2,10745,90.2,80.0,52.3,10,37,9,5,22,1.1,2,0.1,47,27,34,10,18,7,11,21,1012,73,365,401,257,37,36,41.7,44.4,507,1618,34,4,17,9,575,25,16,1,33,64,17,19,47.2,€32.9M,74.9/74.9
196,Matz Sels,BEL,Nott'ham Forest,GK,33,35,35,3150.0,0,0,4,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.20,74.3,37.1,0.0,,0.0,,,472,51.1,17926,100.0,98.0,36.9,1,42,3,0,5,0.14,0,0.0,1,1,1,0,0,0,0,0,1018,777,1002,16,0,0,0,,,489,1500,1,1,0,0,392,1,10,0,0,11,14,2,87.5,€9.1M,72.7/73.4
