,Name,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals (xG),Expected Assist Goals (xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Passes Completed (Cmp),Pass Completion Percentage (Cmp%),Total Passing Distance (TotDist),Short Pass Completion Percentage,Medium Pass Completion Percentage,Long Pass Completion Percentage,Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Crosses into Penalty Area (CrsPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles (Tkl),Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocks,Blocked Shots (Sh),Blocked Passes (Pass),Interceptions (Int),Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Take-Ons (Att),Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Miscontrols (Mis),Dispossessed (Dis),Passes Received (Rec),Fouls Committed (Fls),Fouls Drawn (Fld),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won (Won),Aerials Lost (Lost),Aerials Won Percentage (Won%),market_value,rating
79,Eberechi Eze,ENG,Crystal Palace,"MF,FW",26,31,29,2427.0,5,8,1,0,9.1,5.2,67,89,143,0.19,0.3,0.34,0.19,N/a,N/a,N/a,N/a,25.3,0.89,0.04,21.6,735,74.5,12395,84.3,83.5,44.9,54,47,35,4,125,4.64,9,0.33,37,22,35,18,27,0,27,11,1336,15,177,628,564,89,130,49.2,44.6,794,2262,45,21,53,44,862,11,49,9,103,133,7,37,15.9,€62.2M,74.9/75.8
80,Ederson,BRA,Manchester City,GK,31,23,23,2050.0,0,4,3,0,0.0,1.5,0,1,0,0.0,0.18,0.0,0.07,1.10,68.5,34.8,0.0,,0.0,,,730,88.2,17943,100.0,98.4,66.3,4,20,1,0,6,0.26,4,0.18,0,0,2,2,0,0,0,1,875,619,866,9,0,0,0,,,590,1732,0,0,1,0,560,1,0,0,0,38,4,1,80.0,€19.1M,80.2/80.2
81,Edson Álvarez,MEX,West Ham,MF,27,25,19,1633.0,0,1,8,1,0.3,0.8,21,75,18,0.0,0.06,0.02,0.04,N/a,N/a,N/a,N/a,9.1,0.06,0.0,26.7,763,85.7,12894,88.8,89.7,73.5,11,80,11,3,25,1.38,2,0.11,44,23,33,18,21,8,13,16,1101,61,323,612,174,12,31,45.2,38.7,603,1528,20,2,25,13,734,37,18,4,6,78,28,20,58.3,€36.5M,70.8/71.7
82,Elliot Anderson,ENG,Nott'ham Forest,MF,22,34,30,2467.0,2,6,7,0,1.9,3.1,46,128,87,0.07,0.22,0.07,0.11,N/a,N/a,N/a,N/a,18.9,0.26,0.05,19.4,949,77.6,15198,89.1,80.3,45.7,34,105,19,2,78,2.85,10,0.36,84,52,100,57,44,9,35,30,1630,95,388,775,496,62,73,49.3,39.7,820,2094,31,19,56,41,956,43,55,4,78,197,47,23,67.1,€46.5M,79.6/89.8
83,Emerson Palmieri,ITA,West Ham,DF,30,30,26,2105.0,2,1,5,0,2.0,1.5,47,66,83,0.09,0.04,0.08,0.06,N/a,N/a,N/a,N/a,43.8,0.3,0.13,19.0,859,79.9,12521,89.7,81.3,42.2,16,51,13,5,41,1.75,2,0.09,60,31,48,21,32,8,24,21,1323,82,422,557,359,28,30,33.3,56.7,553,1736,25,9,24,7,745,25,13,0,64,84,18,20,47.4,€12.6M,67.0/67.0
84,Emile Smith Rowe,ENG,Fulham,MF,24,31,23,1886.0,6,2,2,0,4.4,1.1,50,120,115,0.29,0.1,0.21,0.05,N/a,N/a,N/a,N/a,28.6,0.48,0.17,15.6,844,90.1,12107,92.1,95.4,70.4,18,76,15,1,65,3.1,11,0.52,31,18,24,16,20,2,18,11,1128,20,155,534,449,55,33,48.5,45.5,734,1838,38,11,35,13,867,18,12,4,13,69,6,17,26.1,€40.8M,75.7/80.3
85,Emiliano Martínez,ARG,Aston Villa,GK,32,34,34,2970.0,0,0,4,0,0.0,0.5,0,4,0,0.0,0.0,0.0,0.02,1.36,66.7,17.6,50.0,,0.0,,,1018,79.1,26608,97.8,98.2,50.1,2,24,0,0,6,0.18,1,0.03,3,3,2,0,1,0,1,0,1348,1015,1329,19,0,0,1,100.0,0.0,820,2626,0,0,1,0,738,1,5,0,0,29,8,1,88.9,€17.5M,74.2/74.2
86,Emmanuel Agbadou,CIV,Wolves,DF,27,13,13,1140.0,0,0,2,0,0.3,0.2,3,22,1,0.0,0.0,0.02,0.02,N/a,N/a,N/a,N/a,16.7,0.08,0.0,31.8,663,85.0,13505,91.7,92.7,61.0,4,26,1,0,15,1.18,2,0.16,27,18,17,6,16,12,4,9,924,155,527,381,22,5,10,70.0,20.0,572,1230,3,0,3,3,615,5,4,1,1,66,22,16,57.9,€18M,68.7/68.7
87,Enzo Fernández,ARG,Chelsea,MF,24,33,29,2677.0,6,7,7,0,6.0,6.5,57,199,116,0.2,0.24,0.2,0.22,N/a,N/a,N/a,N/a,37.3,0.64,0.12,18.2,1429,80.0,25393,89.0,85.0,58.0,73,156,39,7,141,4.74,16,0.54,63,32,83,52,36,7,29,13,2070,36,327,1049,708,76,46,45.7,39.1,1135,2574,53,8,27,27,1520,47,48,1,105,147,14,28,33.3,€73.7M,75.1/82.7
88,Erling Haaland,NOR,Manchester City,FW,24,28,28,2480.0,21,3,2,0,20.8,2.8,19,18,103,0.76,0.11,0.76,0.1,N/a,N/a,N/a,N/a,54.5,1.96,0.19,12.2,225,66.0,2706,70.6,66.7,66.7,26,9,7,1,62,2.25,9,0.33,9,5,6,4,11,1,10,5,578,22,39,200,344,170,32,34.4,59.4,272,478,14,19,39,25,427,22,12,4,3,29,49,45,52.1,€198.8M,92.8/100.0
89,Ethan Pinnock,JAM,Brentford,DF,31,22,21,1913.0,2,0,2,0,1.1,1.2,3,41,9,0.09,0.0,0.05,0.05,N/a,N/a,N/a,N/a,60.0,0.28,0.2,11.1,924,85.6,17045,94.2,89.4,57.9,8,48,4,1,21,0.99,0,0.0,35,19,24,11,29,18,11,24,1348,294,783,457,109,24,9,33.3,66.7,633,1633,4,0,2,4,760,8,4,0,9,50,63,43,59.4,€7.6M,70.5/70.5
90,Evanilson,BRA,Bournemouth,FW,25,28,25,2058.0,10,1,1,1,11.6,1.6,28,24,88,0.44,0.04,0.51,0.07,N/a,N/a,N/a,N/a,43.9,1.27,0.15,13.0,215,70.0,2631,75.3,73.0,66.7,23,14,3,0,56,2.45,8,0.35,16,10,12,4,10,2,8,0,505,23,50,195,263,116,19,31.6,36.8,300,820,17,14,31,22,358,33,45,17,0,59,39,58,40.2,€26.9M,73.4/77.4
91,Ezri Konsa,ENG,Aston Villa,DF,27,31,30,2666.0,1,0,0,0,0.9,0.4,17,77,11,0.03,0.0,0.03,0.01,N/a,N/a,N/a,N/a,33.3,0.1,0.11,9.1,1425,92.8,23907,96.4,95.7,65.5,5,95,1,0,23,0.78,3,0.1,32,17,22,4,18,10,8,21,1756,224,826,839,100,20,18,44.4,38.9,1021,2561,12,2,17,10,1223,6,42,0,5,89,31,22,58.5,€42.7M,75.9/76.1
92,Fabian Schär,SUI,Newcastle Utd,DF,33,31,30,2664.0,4,0,7,1,2.4,0.4,14,102,18,0.14,0.0,0.08,0.01,N/a,N/a,N/a,N/a,32.3,0.34,0.13,21.2,1518,83.8,30536,92.3,92.7,52.3,5,145,10,0,32,1.08,4,0.14,34,21,34,20,37,24,13,41,2111,239,1089,900,133,33,12,66.7,16.7,1331,3403,23,2,11,6,1474,32,12,4,10,125,46,61,43.0,€11M,70.9/70.9
93,Facundo Buonanotte,ARG,Leicester City,"FW,MF",20,29,14,1474.0,4,2,7,0,3.8,3.1,38,52,69,0.24,0.12,0.23,0.19,N/a,N/a,N/a,N/a,29.4,0.61,0.12,17.8,430,76.6,6782,85.7,81.9,48.6,24,40,13,2,50,3.05,4,0.24,53,32,67,46,32,6,26,11,850,26,127,436,300,36,79,32.9,62.0,465,1321,26,8,53,39,515,35,33,3,41,77,17,35,32.7,€30.7M,66.8/84.2
94,Flynn Downes,ENG,Southampton,MF,26,24,22,1881.0,1,0,10,0,0.6,1.1,25,63,28,0.05,0.0,0.03,0.05,N/a,N/a,N/a,N/a,30.0,0.14,0.1,18.7,890,90.1,13048,92.7,92.1,68.8,15,54,12,0,30,1.44,2,0.1,44,24,32,18,24,6,18,30,1184,77,351,632,210,21,15,33.3,46.7,567,1610,21,4,13,17,840,46,35,0,3,75,14,13,51.9,€9.2M,64.6/68.0
95,Gabriel Magalhães,BRA,Arsenal,DF,27,28,28,2363.0,3,1,4,0,2.6,0.9,10,126,11,0.11,0.04,0.1,0.03,N/a,N/a,N/a,N/a,22.7,0.19,0.14,9.5,1480,90.2,25788,96.9,94.2,53.9,13,145,8,0,35,1.33,6,0.23,25,15,16,4,42,29,13,16,1873,189,672,985,225,40,5,80.0,20.0,1116,2669,22,0,9,2,1366,19,19,0,9,63,53,37,58.9,€75.5M,84.8/86.5
96,Gabriel Martinelli,BRA,Arsenal,"FW,MF",23,30,22,2041.0,7,4,1,0,5.9,4.7,112,47,267,0.31,0.18,0.26,0.21,N/a,N/a,N/a,N/a,42.6,0.88,0.15,13.3,446,71.0,6480,83.5,69.8,49.0,37,11,32,13,66,2.91,6,0.26,20,15,23,16,10,0,10,4,889,15,87,229,586,168,106,30.2,54.7,597,2355,30,59,49,33,678,14,20,8,83,72,15,30,33.3,€62.6M,87.7/96.4
97,Georginio Rutter,FRA,Brighton,"MF,FW",23,28,19,1656.0,5,3,2,0,4.6,2.5,42,67,79,0.27,0.16,0.25,0.14,N/a,N/a,N/a,N/a,24.0,0.65,0.1,15.5,237,66.8,3344,77.0,66.7,62.5,19,30,16,1,64,3.47,8,0.43,39,15,36,22,20,3,17,10,641,20,83,246,326,79,71,38.0,47.9,361,1405,36,16,45,37,411,34,45,7,9,66,25,46,35.2,€41.3M,72.1/79.0
98,Guglielmo Vicario,ITA,Tottenham,GK,28,23,23,2070.0,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.43,64.9,17.4,,,0.0,,,737,87.6,14516,99.1,97.0,49.1,0,1,0,0,4,0.17,0,0.0,0,0,0,0,0,0,0,1,892,599,874,18,0,0,1,100.0,0.0,636,1635,0,0,0,0,577,0,2,0,0,32,9,0,100.0,€41.6M,72.3/72.3
99,Guido Rodríguez,ARG,West Ham,MF,31,20,14,1018.0,0,0,5,0,0.2,0.1,2,31,5,0.0,0.0,0.02,0.01,N/a,N/a,N/a,N/a,12.5,0.09,0.0,27.8,419,84.1,7149,87.4,91.4,62.7,3,36,1,0,10,0.88,0,0.0,30,16,30,16,21,9,12,12,617,42,196,366,56,2,3,66.7,0.0,284,392,5,0,2,6,354,15,11,1,4,46,8,7,53.3,€13.6M,71.6/71.6
100,Harry Maguire,ENG,Manchester Utd,DF,32,24,17,1539.0,1,0,7,0,1.4,0.3,6,43,7,0.06,0.0,0.08,0.01,N/a,N/a,N/a,N/a,41.7,0.29,0.08,7.9,833,85.9,15479,91.8,90.6,57.1,6,43,3,0,17,0.99,0,0.0,26,13,18,5,14,12,2,37,1147,137,572,525,65,38,5,40.0,60.0,677,1673,7,3,7,2,739,17,9,1,3,57,52,22,70.3,€13.7M,67.6/68.2
101,Harry Wilson,WAL,Fulham,"FW,MF",28,22,10,1003.0,5,1,2,0,3.7,1.1,17,48,83,0.45,0.09,0.33,0.1,N/a,N/a,N/a,N/a,34.4,0.99,0.16,17.3,297,73.9,4995,85.4,78.5,42.9,19,25,13,1,37,3.32,3,0.27,14,9,15,6,13,1,12,5,516,9,67,185,273,48,24,37.5,41.7,299,693,18,8,14,5,342,10,20,1,38,50,4,18,18.2,€14.5M,76.0/76.0
102,Harry Winks,ENG,Leicester City,MF,29,22,17,1538.0,0,2,4,0,0.2,1.2,19,101,11,0.0,0.12,0.01,0.07,N/a,N/a,N/a,N/a,40.0,0.23,0.0,29.2,910,87.1,14101,92.2,91.2,57.9,17,110,7,5,39,2.28,3,0.18,24,11,30,17,19,7,12,9,1158,49,275,746,151,1,12,25.0,66.7,696,1522,13,0,13,8,827,9,13,0,34,106,8,6,57.1,€11.4M,68.2/68.4
103,Harvey Barnes,ENG,Newcastle Utd,FW,27,30,14,1503.0,9,4,0,0,6.6,3.9,80,72,172,0.54,0.24,0.39,0.23,N/a,N/a,N/a,N/a,32.7,1.08,0.16,15.0,420,78.8,5863,87.3,73.5,63.2,23,22,36,8,57,3.4,9,0.54,16,9,10,7,7,1,6,6,709,15,84,232,398,109,58,37.9,50.0,498,2160,41,44,26,20,567,11,20,5,41,49,5,14,26.3,€41.5M,78.2/78.6
104,Ian Maatsen,NED,Aston Villa,DF,23,26,8,957.0,1,2,2,0,0.8,2.7,27,40,91,0.09,0.19,0.07,0.25,N/a,N/a,N/a,N/a,29.4,0.47,0.06,22.3,530,81.8,8558,88.4,86.5,54.3,18,20,15,3,49,4.6,7,0.66,27,15,22,6,11,0,11,15,797,47,216,294,297,41,23,47.8,52.2,429,1037,15,11,20,21,486,9,9,3,48,61,8,6,57.1,€40.6M,76.1/84.5
105,Ibrahima Konaté,FRA,Liverpool,DF,25,28,27,2320.0,1,2,5,0,1.7,1.0,21,103,3,0.04,0.08,0.07,0.04,N/a,N/a,N/a,N/a,16.7,0.12,0.06,10.5,1581,90.3,29259,93.7,95.1,55.7,10,125,8,0,30,1.16,7,0.27,36,25,34,10,27,15,12,12,2005,211,854,1047,110,22,4,50.0,25.0,1184,3160,13,0,8,2,1454,26,18,0,0,86,72,28,72.0,€57.2M,81.4/85.4
106,Iliman Ndiaye,SEN,Everton,FW,25,30,27,2252.0,7,0,3,0,5.2,1.6,81,50,115,0.28,0.0,0.21,0.06,N/a,N/a,N/a,N/a,40.6,0.52,0.16,17.4,543,80.8,8134,86.1,86.1,68.0,17,35,14,5,59,2.36,5,0.2,48,25,45,26,27,5,22,17,1000,34,202,411,435,77,137,46.0,46.7,575,2221,41,30,49,43,612,24,47,5,38,163,6,19,24.0,€25.7M,68.5/72.9
107,Illia Zabarnyi,UKR,Bournemouth,DF,22,33,32,2842.0,0,0,3,1,1.1,0.6,25,128,4,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,9.8,1262,81.6,26615,90.5,90.8,52.8,11,134,6,0,28,0.89,0,0.0,46,32,44,14,33,20,13,38,1869,218,860,961,69,13,8,62.5,25.0,1158,4451,20,0,14,3,1168,18,6,0,5,143,72,40,64.3,€58.8M,75.3/88.1
108,Issa Diop,FRA,Fulham,DF,28,21,15,1339.0,0,0,2,0,0.5,0.1,6,25,3,0.0,0.0,0.04,0.01,N/a,N/a,N/a,N/a,40.0,0.13,0.0,10.7,663,87.5,12350,92.5,92.9,52.9,3,43,1,0,6,0.4,0,0.0,26,12,18,5,10,7,3,9,903,125,498,381,26,13,2,50.0,50.0,533,1216,2,0,9,2,617,10,4,0,1,45,20,12,62.5,€17.9M,70.8/71.5
109,Jack Clarke,ENG,Ipswich Town,"FW,MF",24,29,11,1056.0,0,4,2,0,1.0,2.0,32,35,47,0.0,0.34,0.08,0.17,N/a,N/a,N/a,N/a,14.3,0.17,0.0,19.4,266,76.4,4343,86.8,86.0,48.3,23,25,6,0,40,3.41,5,0.43,28,17,32,16,6,0,6,7,486,22,115,198,187,32,42,52.4,33.3,272,1015,18,9,20,18,293,15,21,3,13,67,7,14,33.3,€19.4M,62.8/67.8
110,Jack Harrison,ENG,Everton,FW,28,31,22,1900.0,1,0,0,0,3.3,3.7,64,45,116,0.05,0.0,0.16,0.17,N/a,N/a,N/a,N/a,22.2,0.28,0.04,16.3,379,63.1,6064,81.5,68.1,34.3,32,26,25,11,53,2.51,4,0.19,30,21,40,26,18,2,16,9,871,31,144,305,429,62,72,31.9,56.9,479,1491,34,14,50,37,562,13,26,4,118,65,4,26,13.3,€17.7M,72.0/72.0
111,Jack Hinshelwood,ENG,Brighton,"DF,MF",20,23,21,1744.0,2,2,5,0,1.5,1.3,18,63,47,0.1,0.1,0.08,0.07,N/a,N/a,N/a,N/a,42.9,0.31,0.14,14.3,828,83.4,12560,91.4,84.1,52.9,15,33,9,2,33,1.7,3,0.15,26,18,27,16,8,3,5,15,1137,50,316,528,299,27,11,18.2,72.7,565,1142,20,2,16,3,714,16,7,0,26,58,19,15,55.9,€9.2M,68.5/84.7
112,Jack Stephens,ENG,Southampton,DF,31,17,15,1209.0,1,0,2,2,0.6,0.2,13,53,2,0.07,0.0,0.04,0.01,N/a,N/a,N/a,N/a,50.0,0.15,0.25,11.0,786,92.0,13687,92.9,94.5,83.0,3,47,5,0,13,0.97,0,0.0,32,19,27,12,15,10,5,11,976,109,403,482,95,11,4,0.0,100.0,552,1209,12,1,3,3,690,12,4,1,1,41,6,8,42.9,€1.4M,60.6/61.0
113,Jacob Greaves,ENG,Ipswich Town,DF,24,22,22,1935.0,1,0,5,0,1.2,0.0,7,53,8,0.05,0.0,0.06,0.0,N/a,N/a,N/a,N/a,50.0,0.19,0.13,8.3,827,86.2,13641,93.1,89.5,41.9,2,63,1,0,13,0.6,0,0.0,36,19,33,12,36,24,12,18,1202,253,649,482,75,17,3,66.7,33.3,538,969,9,0,8,2,739,12,19,1,1,48,65,38,63.1,€25.1M,65.2/73.1
114,Jacob Murphy,ENG,Newcastle Utd,FW,30,32,28,2139.0,8,11,3,0,5.7,8.1,70,67,216,0.34,0.46,0.24,0.34,N/a,N/a,N/a,N/a,35.7,0.63,0.19,18.2,611,68.3,9226,83.8,67.5,42.4,38,49,35,14,73,3.07,14,0.59,22,15,31,15,31,0,31,11,1140,21,162,421,568,88,64,48.4,46.9,665,2081,31,25,30,34,824,11,14,3,110,92,4,15,21.1,€17.9M,77.2/77.2
115,Jacob Ramsey,ENG,Aston Villa,"FW,MF",23,27,18,1516.0,1,3,2,0,1.5,2.3,57,67,105,0.06,0.18,0.09,0.13,N/a,N/a,N/a,N/a,22.2,0.24,0.06,16.7,479,85.4,6395,91.5,84.9,75.0,20,31,21,1,51,3.03,8,0.47,30,15,20,10,21,3,18,7,726,12,136,259,344,67,42,57.1,23.8,474,1631,31,19,39,21,552,12,25,5,10,77,6,10,37.5,€45.8M,78.8/85.9
116,Jadon Sancho,ENG,Chelsea,FW,25,29,18,1687.0,3,4,2,0,2.2,3.6,98,87,218,0.16,0.21,0.12,0.19,N/a,N/a,N/a,N/a,33.3,0.43,0.13,15.1,631,82.5,8571,89.1,84.2,51.9,36,26,47,0,67,3.57,10,0.53,10,6,12,7,9,0,9,2,926,11,115,269,552,119,95,47.4,40.0,626,2374,33,56,29,21,726,6,11,6,23,97,5,10,33.3,€37.7M,78.9/85.6
117,Jake O'Brien,IRL,Everton,DF,23,18,15,1391.0,2,0,5,0,0.7,0.6,7,43,24,0.13,0.0,0.05,0.04,N/a,N/a,N/a,N/a,60.0,0.19,0.4,11.5,509,78.3,9400,88.7,80.1,64.0,6,41,8,5,16,1.04,0,0.0,24,16,24,8,16,4,12,4,805,69,321,352,135,18,10,40.0,50.0,356,743,6,2,5,5,428,13,4,3,18,51,33,27,55.0,€19.7M,65.4/69.0
118,James Garner,ENG,Everton,"MF,DF",24,18,14,1324.0,0,1,3,0,0.3,1.3,12,46,22,0.0,0.07,0.02,0.09,N/a,N/a,N/a,N/a,28.6,0.14,0.0,24.1,504,75.0,8821,85.2,83.5,46.5,12,50,6,3,33,2.24,5,0.34,41,27,35,16,15,3,12,17,819,36,196,417,213,9,16,37.5,62.5,399,684,15,1,12,7,451,18,14,0,52,64,10,8,55.6,€23.2M,74.9/80.4
119,James Justin,ENG,Leicester City,DF,27,33,31,2669.0,2,1,5,0,1.5,0.6,39,87,92,0.07,0.03,0.05,0.02,N/a,N/a,N/a,N/a,25.0,0.2,0.08,16.0,1093,77.8,16878,86.8,84.3,34.9,13,74,21,7,31,1.05,1,0.03,49,29,51,23,41,14,27,44,1775,134,616,804,365,37,30,30.0,43.3,797,1672,25,4,31,13,989,23,37,2,53,79,61,48,56.0,€17M,67.9/70.6
120,James Maddison,ENG,Tottenham,MF,28,31,21,1809.0,9,7,6,0,5.8,4.2,45,164,95,0.45,0.35,0.29,0.21,N/a,N/a,N/a,N/a,43.6,0.85,0.23,16.7,1021,81.3,16664,90.9,86.2,46.3,41,123,32,5,95,4.73,18,0.9,31,19,29,20,15,4,11,12,1464,26,210,691,576,77,77,42.9,44.2,1026,2279,39,20,23,25,1125,32,64,4,98,76,5,7,41.7,€58.1M,81.2/81.2
121,James Tarkowski,ENG,Everton,DF,32,33,33,2922.0,1,1,6,0,1.3,2.9,9,75,3,0.03,0.03,0.04,0.09,N/a,N/a,N/a,N/a,26.7,0.12,0.07,8.4,1045,81.0,22119,84.5,91.9,62.7,16,83,11,0,38,1.17,4,0.12,64,40,39,15,57,42,15,41,1706,355,974,635,106,57,7,71.4,28.6,727,1943,10,0,13,7,927,35,28,2,1,98,102,33,75.6,€11.8M,74.9/74.9
122,Jamie Vardy,ENG,Leicester City,FW,38,33,33,2655.0,8,3,5,0,10.7,2.9,27,20,110,0.27,0.1,0.36,0.1,N/a,N/a,N/a,N/a,42.3,0.75,0.13,12.4,243,66.8,3497,74.0,77.7,68.4,18,10,9,1,44,1.49,9,0.3,18,13,13,9,8,4,4,5,555,29,57,255,248,105,21,42.9,47.6,264,645,11,14,34,12,356,22,21,25,11,35,49,51,49.0,€1M,67.3/69.5
123,Jan Bednarek,POL,Southampton,DF,29,29,29,2441.0,2,0,7,0,0.7,0.5,5,59,2,0.07,0.0,0.02,0.02,N/a,N/a,N/a,N/a,40.0,0.07,0.4,16.0,1547,92.7,27450,95.4,94.7,76.5,5,72,1,0,16,0.59,0,0.0,35,18,30,15,44,33,11,54,2011,365,1060,917,41,15,3,100.0,0.0,1035,1731,5,1,9,3,1294,31,12,0,1,106,68,36,65.4,€12.9M,63.8/64.6
124,Jan Paul van Hecke,NED,Brighton,DF,24,31,30,2688.0,1,1,8,1,1.3,1.5,53,216,5,0.03,0.03,0.04,0.05,N/a,N/a,N/a,N/a,31.3,0.17,0.06,14.1,1839,87.9,36200,93.1,93.0,65.4,13,207,16,4,48,1.61,3,0.1,40,26,38,18,32,19,13,23,2373,250,1006,1233,154,30,11,45.5,36.4,1572,6740,42,0,12,7,1665,23,23,0,11,120,78,48,61.9,€42.4M,72.3/78.6
125,Jannik Vestergaard,DEN,Leicester City,DF,32,18,16,1391.0,0,0,5,0,0.1,0.1,3,32,2,0.0,0.0,0.01,0.01,N/a,N/a,N/a,N/a,66.7,0.13,0.0,9.7,870,90.7,14697,95.0,93.7,59.3,3,34,1,0,7,0.45,0,0.0,22,10,15,6,21,14,7,16,1092,196,572,497,28,10,4,100.0,0.0,672,1458,3,0,2,0,757,12,4,0,0,46,26,19,57.8,€2M,61.7/61.7
126,Jarrad Branthwaite,ENG,Everton,DF,22,28,26,2348.0,0,1,4,0,1.1,0.7,9,61,2,0.0,0.04,0.04,0.03,N/a,N/a,N/a,N/a,37.5,0.11,0.0,8.2,909,82.2,17777,90.3,90.5,55.3,3,80,2,0,13,0.5,2,0.08,36,20,27,7,30,22,8,23,1413,198,735,622,63,23,5,60.0,20.0,694,2253,13,2,8,3,826,10,17,1,5,84,53,38,58.2,€32.2M,77.2/85.6
127,Jarrod Bowen,ENG,West Ham,"FW,MF",28,31,31,2721.0,10,7,1,0,8.0,6.3,98,86,188,0.33,0.23,0.26,0.21,N/a,N/a,N/a,N/a,41.0,1.06,0.12,17.4,517,71.4,8610,83.0,76.4,55.6,49,37,43,7,104,3.44,13,0.43,37,24,37,20,21,3,18,16,1123,25,125,415,607,154,116,34.5,56.9,667,2311,43,56,68,70,736,19,49,10,101,120,12,46,20.7,€48.1M,73.5/75.3
128,Jean-Clair Todibo,FRA,West Ham,DF,25,24,17,1564.0,0,0,2,0,0.2,0.0,9,31,5,0.0,0.0,0.01,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.0,14.6,788,87.4,14042,93.5,94.0,44.4,2,40,1,0,5,0.29,0,0.0,40,24,33,8,24,12,12,21,1090,146,603,452,44,10,14,50.0,50.0,623,1363,5,0,13,9,735,11,5,0,3,65,23,24,48.9,€36M,73.4/77.6
129,Jean-Philippe Mateta,FRA,Crystal Palace,FW,27,34,31,2517.0,14,2,2,0,12.1,3.1,38,47,114,0.5,0.07,0.43,0.11,N/a,N/a,N/a,N/a,41.0,0.89,0.2,15.7,274,64.9,3631,76.3,62.1,31.8,27,32,15,2,56,2.0,8,0.29,17,12,16,13,16,3,13,2,695,24,58,333,318,87,43,44.2,46.5,373,916,20,8,70,43,511,27,26,17,25,64,60,99,37.7,€31.7M,74.8/74.8
130,Jean-Ricner Bellegarde,FRA,Wolves,"MF,FW",26,32,19,1551.0,2,6,3,0,1.3,3.6,49,39,83,0.12,0.35,0.08,0.21,N/a,N/a,N/a,N/a,25.0,0.29,0.1,21.7,415,78.7,6398,89.2,80.9,56.4,26,27,17,8,53,3.08,10,0.58,37,22,19,6,19,3,16,10,756,24,139,339,295,45,60,23.3,51.7,464,1440,35,11,38,25,519,29,41,1,40,57,9,18,33.3,€21.3M,68.6/69.1
131,Jefferson Lerma,COL,Crystal Palace,"MF,DF",30,30,23,2034.0,0,1,8,0,1.0,1.5,11,86,25,0.0,0.04,0.04,0.06,N/a,N/a,N/a,N/a,29.2,0.31,0.0,19.4,777,75.4,13661,86.7,81.1,46.7,9,83,17,2,44,1.95,3,0.13,30,15,33,16,32,15,17,37,1274,95,404,655,225,27,12,50.0,33.3,597,1004,10,0,14,15,747,34,36,0,11,139,39,39,50.0,€13.6M,70.8/70.8
132,Jens Cajuste,SWE,Ipswich Town,MF,25,27,23,1783.0,1,0,2,0,0.5,0.6,23,46,16,0.05,0.0,0.02,0.03,N/a,N/a,N/a,N/a,10.0,0.05,0.1,21.3,576,82.4,9518,88.9,85.8,50.0,11,45,5,1,30,1.51,1,0.05,39,19,47,28,24,9,15,25,911,59,263,477,185,11,46,54.3,32.6,421,1182,21,3,21,14,522,21,21,0,9,99,12,21,36.4,€15.5M,66.1/68.8
133,Jesper Lindstrøm,DEN,Everton,FW,25,25,15,1239.0,0,1,2,0,2.1,2.0,30,25,81,0.0,0.07,0.15,0.15,N/a,N/a,N/a,N/a,35.7,0.73,0.0,21.0,297,69.4,4593,86.2,65.7,44.6,19,18,12,7,46,3.35,1,0.07,45,25,55,36,15,3,12,12,625,22,127,206,303,40,43,18.6,72.1,302,780,19,7,31,24,347,15,10,1,71,70,6,12,33.3,€24.4M,70.6/73.7
134,Joachim Andersen,DEN,Fulham,DF,28,26,26,2313.0,0,0,5,1,1.0,0.3,13,105,2,0.0,0.0,0.04,0.01,N/a,N/a,N/a,N/a,23.5,0.16,0.0,15.2,1485,82.8,32857,91.2,93.6,55.1,3,176,6,3,30,1.17,2,0.08,25,17,20,7,33,26,7,30,2089,293,1085,923,93,20,6,66.7,0.0,1211,2996,14,1,6,3,1446,15,17,0,10,107,63,36,63.6,€31.4M,78.6/78.6
