Name,Cluster,UMAP1,UMAP2,Progressive Carries (PrgC),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Pass Completion Percentage (Cmp%),Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocked Shots (Sh),Interceptions (Int),Touches in Attacking Third,Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Passes Received (Rec),Progressive Passes Received (PrgR),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won Percentage (Won%)
Bruno Fernandes,1,3.8076172,1.9212166,65,0.26,0.29,0.31,0.25,1.4849999999999999,68.15,17.9,0.0,30.1,0.82,0.06,21.9,75.2,84,176,73,169,5.51,12,0.39,47,75,46,4,25,888,41.5,49.2,1379,3436,60,11,1665,118,2,172,192,42.9
Bruno Guimarães,1,3.8918974,1.9218335,54,0.12,0.18,0.12,0.17,1.4849999999999999,68.15,17.9,0.0,25.6,0.3,0.1,16.3,82.1,47,162,70,121,3.63,17,0.51,43,64,33,9,27,592,45.3,32.0,1298,3108,40,12,1507,81,2,25,167,51.4
Bryan Mbeumo,4,1.6409626,2.2975574,118,0.52,0.17,0.31,0.23,1.4849999999999999,68.15,17.9,0.0,42.3,0.86,0.18,17.7,66.6,66,55,55,134,3.84,18,0.52,29,31,13,3,14,913,46.5,41.4,984,3237,64,68,1109,319,11,182,143,33.0
Bukayo Saka,4,1.5467391,2.949231,82,0.35,0.58,0.37,0.4,1.4849999999999999,68.15,17.9,0.0,34.5,1.17,0.09,15.5,75.2,50,13,32,102,5.97,22,1.29,13,22,11,0,3,639,44.0,41.7,558,2133,28,45,635,233,5,110,65,29.6
Caleb Okoli,3,8.487996,3.996479,3,0.08,0.0,0.05,0.0,1.4849999999999999,68.15,17.9,0.0,50.0,0.16,0.25,13.5,86.4,0,21,1,4,0.32,0,0.0,14,18,7,14,15,35,45.0,43.8,467,1106,6,0,483,2,0,1,44,52.3
Callum Hudson-Odoi,4,1.4964828,2.8233287,127,0.21,0.08,0.1,0.11,1.4849999999999999,68.15,17.9,0.0,45.9,0.71,0.14,18.3,82.2,44,36,31,94,3.93,11,0.46,14,17,6,0,13,595,58.1,29.0,626,3335,61,45,764,186,8,75,91,23.1
Callum Wilson,0,7.611272,7.316306,5,0.0,0.0,0.12,0.02,1.4849999999999999,68.15,17.9,0.0,16.7,0.32,0.0,15.4,70.0,1,1,0,6,1.89,0,0.0,2,2,2,0,1,29,16.7,50.0,38,93,4,5,45,12,3,2,10,12.5
Calvin Bassey,3,9.767673,2.564918,36,0.03,0.0,0.03,0.0,1.4849999999999999,68.15,17.9,0.0,28.6,0.12,0.07,15.3,89.8,3,143,2,23,0.72,3,0.09,33,30,9,17,18,124,45.2,32.3,1487,4539,18,5,1620,15,2,7,156,56.3
Cameron Archer,2,5.7374883,6.876596,19,0.13,0.0,0.33,0.02,1.4849999999999999,68.15,17.9,0.0,33.3,0.59,0.07,13.1,81.1,3,6,7,17,1.12,0,0.0,7,9,7,1,2,145,43.8,53.1,210,499,9,14,256,64,7,3,34,22.2
Cameron Burgess,0,9.214729,5.5037384,2,0.0,0.12,0.04,0.03,1.4849999999999999,68.15,17.9,0.0,11.1,0.06,0.0,9.7,80.9,7,45,4,13,0.81,3,0.19,10,9,2,13,14,47,45.0,43.8,416,990,4,0,539,4,1,0,40,66.2
